,imdb,kills,title,year
0,tt0381849,45,3:10 To Yuma,2007
1,tt0134273,7,8MM,1999
2,tt0066740,10,The Abominable Dr. Phibes,1971
3,tt0094602,18,Above the Law,1988
4,tt0094612,17,Action Jackson,1988
5,tt0098987,7,The Adventures of Ford Fairlane,1990
6,tt0402022,58,Aeon Flux,2005
7,tt0094625,119,Akira,1988
8,tt0284837,11,Ali G Indahouse,2002
9,tt0078748,9,Alien,1979
10,tt0758730,115,Aliens vs. Predator: Requiem,2007
11,tt0426883,3,Alpha Dog,2007
12,tt0080360,5,Altered States,1980
13,tt0765429,15,American Gangster,2007
14,tt0088708,114,American Ninja,1985
15,tt0144084,18,American Psycho,2000
16,tt0109099,53,American Yakuza,1993
17,tt0127722,9,Another Day In Paradise,1997
18,tt0078788,62,Apocalypse Now,1979
19,tt0472043,114,Apocalypto,2006
20,tt0800308,10,Appaloosa,2008
21,tt0120591,16,Armageddon,1998
22,tt0106308,107,The Evil Dead III:,1993
23,tt0074156,39,Assault On Precinct 13,1976
24,tt0398712,21,Assault On Precinct 13,2005
25,tt0783233,34,Atonement,2007
26,tt0295178,6,Austin Powers in Goldmember,2002
27,tt0112442,30,Bad Boys,1995
28,tt0172156,63,Bad Boys II,2003
29,tt0814022,38,Bangkok Dangerous,2008
30,tt0200465,4,The Bank Job,2008
31,tt0414852,34,District B13,2004
32,tt0101410,3,Barton Fink,1991
33,tt0096895,56,Batman,1989
34,tt0372784,18,Batman Begins,2005
35,tt0103776,18,Batman Returns,1992
36,tt0092263,65,A Better Tomorrow,1986
37,tt0094357,199,A Better Tomorrow II,1987
38,tt0120609,38,The Big Hit,1998
39,tt0090728,46,Big Trouble In Little China,1986
40,tt0387877,13,The Black Dahlia,2006
41,tt0120611,111,Blade,1998
42,tt0187738,98,Blade II,2002
43,tt0359013,140,Blade: Trinity,2004
44,tt0083658,5,Blade Runner,1982
45,tt0383222,102,BloodRayne,2006
46,tt0450259,187,Blood Diamond,2006
47,tt0144117,33,The Boondock Saints,1999
48,tt0258463,8,The Bourne Identity,2002
49,tt0372183,9,The Bourne Supremacy,2004
50,tt0112573,184,Braveheart,1995
51,tt0088846,25,Brazil,1985
52,tt0194722,109,Bridge of Dragons,1999
53,tt0115759,25,Broken Arrow,1996
54,tt0237534,40,Brotherhood,2001
55,tt0252299,16,Buffalo Soldiers,2001
56,tt0099426,214,Bullet in the Head,1990
57,tt0245803,37,Bulletproof Monk,2003
58,tt0303816,19,Cabin Fever,2002
59,tt0112641,25,Casino,1995
60,tt0472062,22,Charlie Wilson's War,2007
61,tt0305357,39,Charlie's Angels: Full Throttle,2003
62,tt0206634,77,Children of Men,2006
63,tt0085333,6,Christine,1983
64,tt0085334,4,A Christmas Story,1983
65,tt0363771,86,Chronicles of Narnia:,2005
66,tt0296572,187,The Chronicles of Riddick,2004
67,tt0191037,8,Circus,2000
68,tt0099277,43,Class of 1999,1990
69,tt0109444,41,Clear & Present Danger,1994
70,tt0066921,7,A Clockwork Orange,1971
71,tt1060277,27,Cloverfield,2008
72,tt0369339,17,Collateral,2004
73,tt0290538,50,Confessions of a,2002
74,tt0088944,88,Commando,1985
75,tt0118880,30,Con Air,1997
76,tt0118883,7,Conspiracy Theory,1997
77,tt0387131,18,The Constant Gardener,2005
78,tt0360486,7,Constantine,2005
79,tt0163818,25,Hitman,1998
80,tt0142192,37,The Corruptor,1999
81,tt0245844,5,The Count of Monte Cristo,2002
82,tt0306685,13,Cradle 2 the Grave,2003
83,tt0479884,29,Crank,2006
84,tt0083767,15,Creepshow,1982
85,tt0310924,20,Crime Spree,2003
86,tt0190332,14,"Crouching Tiger, Hidden Dragon",2000
87,tt0109506,35,The Crow,1994
88,tt0115988,12,The Crucible,1996
89,tt0279331,8,Dark Blue,2002
90,tt0468569,36,The Dark Knight,2008
91,tt0088993,40,Day of the Dead,1985
92,tt0077402,175,Dawn of the Dead,1978
93,tt0363547,131,Dawn of the Dead,2004
94,tt0804461,15,Death Sentence,2007
95,tt0266452,3,Death to Smoochy,2002
